initial_road_level,total_goods_produced,gdp_current,total_wages_paid
1,2677123.6562131853,108000.0,108000.0
1,2494411.354969071,108000.0,108000.0
1,2857522.14250386,108000.0,108000.0
2,2750939.6562131853,108000.0,108000.0
2,2598730.354969071,108000.0,108000.0
2,2927793.14250386,108000.0,108000.0
3,2836271.6562131853,108000.0,108000.0
3,2666489.354969071,108000.0,108000.0
3,3031036.14250386,108000.0,108000.0
4,2886037.6562131853,108000.0,108000.0
4,2736071.354969071,108000.0,108000.0
4,3078712.14250386,108000.0,108000.0
5,2890498.6562131853,108000.0,108000.0
5,2740987.354969071,108000.0,108000.0
5,3082715.14250386,108000.0,108000.0
